date,src_institution_id,src_institution_name,dst_ticker,dst_canonical_stock_id,relation_type,holding_ratio,float_holding_ratio,edge_weight,quarter,report_period_end,effective_date,source,record_status
2018-04-30,SINA:70010101,全国社保基金一零一组合,002142.SZ,CMIN-CN:002142.SZ,institution_holds_stock,2.23,2.52,2.23,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80086743,新加坡华侨银行有限公司,002142.SZ,CMIN-CN:002142.SZ,institution_holds_stock,12.2,13.74,12.2,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80360103,新加坡华侨银行有限公司(QFII),002142.SZ,CMIN-CN:002142.SZ,institution_holds_stock,1.42,1.6,1.42,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010418,全国社保基金四一八组合,002157.SZ,CMIN-CN:002157.SZ,institution_holds_stock,0.47,0.48,0.47,20181,2018-03-31,2018-04-18,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001475,易方达国防军工混合A,002179.SZ,CMIN-CN:002179.SZ,institution_holds_stock,1.09,1.1,1.09,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:160630,鹏华中证国防指数(LOF)A,002179.SZ,CMIN-CN:002179.SZ,institution_holds_stock,1.47,1.48,1.47,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010406,全国社保基金四零六组合,002179.SZ,CMIN-CN:002179.SZ,institution_holds_stock,1.2,1.21,1.2,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010113,全国社保基金一一三组合,002202.SZ,CMIN-CN:002202.SZ,institution_holds_stock,2.06,2.57,2.06,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010115,全国社保基金一一五组合,002202.SZ,CMIN-CN:002202.SZ,institution_holds_stock,0.78,0.98,0.78,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010413,全国社保基金四一三组合,002202.SZ,CMIN-CN:002202.SZ,institution_holds_stock,0.82,1.02,0.82,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
