date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2020-11-30,APD,TSLA,same_theme_etf_holding,PBW,Clean Energy,1,0.0232557748653,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AVGO,NVDA,same_theme_etf_holding,PSI | SMH,Semiconductor,2,0.112088359979,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,CSCO,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0307136244866,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,FB,same_theme_etf_holding,ARKW | PNQI,Internet,2,0.0985555029628,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,GOOG,same_theme_etf_holding,PNQI | SKYY,Cloud Computing | Internet,2,0.111786314064,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,JD,same_theme_etf_holding,EMQQ | PNQI,Internet,2,0.110218954802,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,MSFT,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0376088443387,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,NFLX,same_theme_etf_holding,ARKW | PNQI,Internet,2,0.0726312402704,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,NVDA,same_theme_etf_holding,ARKW,Internet,1,0.0126298022145,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,ORCL,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0397791733541,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,PYPL,same_theme_etf_holding,ARKW,Internet,1,0.0132978435586,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,SNAP,same_theme_etf_holding,ARKW | PNQI,Internet,2,0.0541299402449,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,BABA,TSLA,same_theme_etf_holding,ARKW,Internet,1,0.0392085304542,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CAT,DE,same_theme_etf_holding,ARKQ,Robotics,1,0.0302787804141,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CAT,GOOG,same_theme_etf_holding,ARKQ,Robotics,1,0.0326596995511,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
