date,canonical_stock_id,ticker,stock_code,stock_name,exchange,classification_standard,classification_version,industry_category,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_code,change_date,source,record_status
2019-09-30,CMIN-CN:603899.SH,603899.SH,603899,晨光文具,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:002459.SZ,002459.SZ,002459,晶澳科技,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:300316.SZ,300316.SZ,300316,晶盛机电,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:300122.SZ,300122.SZ,300122,智飞生物,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:600926.SH,600926.SH,600926,杭州银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:000651.SZ,000651.SZ,000651,格力电器,SZ,申银万国行业分类标准,SW2014,家用电器,家用电器,白色家电,空调,空调,S330102,1996-11-18,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-09-30,CMIN-CN:300595.SZ,300595.SZ,300595,欧普康视,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:603833.SH,603833.SH,603833,欧派家居,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:002241.SZ,002241.SZ,002241,歌尔股份,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:601877.SH,601877.SH,601877,正泰电器,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:002157.SZ,002157.SZ,002157,正邦科技,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:002594.SZ,002594.SZ,002594,比亚迪,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:600016.SH,600016.SH,600016,民生银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:601933.SH,601933.SH,601933,永辉超市,SH,申银万国行业分类标准,SW2014,商贸零售,商贸零售,一般零售,超市,超市,S450302,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-09-30,CMIN-CN:300124.SZ,300124.SZ,300124,汇川技术,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:603160.SH,603160.SH,603160,汇顶科技,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:600919.SH,600919.SH,600919,江苏银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:600362.SH,600362.SH,600362,江西铜业,SH,申银万国行业分类标准,SW2014,有色金属,有色金属,工业金属,铜,铜,S240302,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-09-30,CMIN-CN:300142.SZ,300142.SZ,300142,沃森生物,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:688126.SH,688126.SH,688126,沪硅产业,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:300347.SZ,300347.SZ,300347,泰格医药,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-09-30,CMIN-CN:000568.SZ,000568.SZ,000568,泸州老窖,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
